Referencia;Nombre;Categoria;Descripcion
89;ALCOHOL ANTISEPTICO (ETANOL 70%) 375ML 1/2B;HOGAR Y COCINA;
90;ALCOHOL ANTISEPTICO (ETANOL 70%) 750ML 1B;HOGAR Y COCINA;
92;ALCOHOL INDUSTRIAL (METANOL 80%) 750ML 1B;PINTURAS Y DISOLVENTES;
3684;ALDABA PEQUEÃ¯Â¿Â½A;TORNILLERIA;
93;"ALICATE CORTA FRIO MANGO PVC 6"" PRETUL";HERRAMIENTA MANUAL;22636
94;"ALICATE ELECTRICISTA MANGO PVC 8"" PRETUL";HERRAMIENTA MANUAL;22609
95;"ALICATE MINIATURA CORTA FRIO 4"" PRETUL";HERRAMIENTA MANUAL;22663
101;"ALICATE MINIATURA PUNTA AGUJA 5""  PRETUL";HERRAMIENTA MANUAL;22665
96;"ALICATE MINIATURA PUNTA LARGA 5"" PRETUL";HERRAMIENTA MANUAL;22662
97;"ALICATE MINIATURA PUNTA REDONDA 5"" PRETUL";HERRAMIENTA MANUAL;22666
104;"ALICATE MINIATURA TIPO TENAZA 4"" PRETUL";HERRAMIENTA MANUAL;22664
99;"ALICATE PELACABLE 9"" PRETUL";HERRAMIENTA MANUAL;22710
100;ALICATE PUNTA 90Ã¯Â¿Â½ PARA CERRAR ANILLOS TUPER;HERRAMIENTA MANUAL;17362
102;"ALICATE PUNTA LARGA 6"" MANGO PVC PRETUL";HERRAMIENTA MANUAL;22624
103;"ALICATE SACABOCADO 9"" TRUPER";HERRAMIENTA MANUAL;"""Marca Truper, Modelo 17340, Largo 24 cm, Tipo de corte SACABOCADOS, Material del mango Recubierto, Material Acero  """"Pinza saca bocados fabricada en acero al carbono y mango ergonómico para brindar mejor agarre.Puntas de corte fabricadas de acero templado para una mayor duración.Cuenta con soporte de desgaste lo que asegura que el material a cortar no sufra daños.Fácil selección del diámetro para perforar.Para perforaciones en cuero, lona, plástico y cartón.Con deposito para desperdicios.Requiere poca fuerza para hacer los agujeros.Mango recubierto de vinil para mayor comodidadLargo 9"""""""" (228,6 mm)Diámetros de perforaciones 2, 2.5, 3, 3.5, 4 y 4.5 mmDureza sacabocados 45 HRcPeso 370 g."""
107D;AMARRE PLASTICO NEGRO 7,6 X 40cm FORTE DOC;HERRAJES Y SOPORTES;16070
107P;AMARRE PLASTICO NEGRO 7,6 X 40cm FORTE PAQ X 100;HERRAJES Y SOPORTES;16070
147D;AMARRE PARA TEJA CORTO DOC;CONSTRUCCION;
147C;AMARRE PARA TEJA CORTO PAQ X 100;CONSTRUCCION;
147;AMARRE PARA TEJA CORTO UN;CONSTRUCCION;
150D;AMARRE PARA TEJA LARGO DOC;CONSTRUCCION;
150P;AMARRE PARA TEJA LARGO PAQ X 100;CONSTRUCCION;
150;AMARRE PARA TEJA LARGO UN;CONSTRUCCION;
3397P;AMARRE PICADO PAQUETE;HERRAJES Y SOPORTES;39882
3397;AMARRE PICADO X UN;HERRAJES Y SOPORTES;39882
