Nombre;CategorÃ­a;Definicion;Caracteristicas
"CAJA PARA HERRAMIENTA 13"" CON COMPARTIMIENTOS PRETUL";HERRAMIENTA MANUAL;;
"CAJA PARA HERRAMIENTA 16"" CON COMPARTIMIENTOS PRETUL";HERRAMIENTA MANUAL;;
BOMBILLO LED 9W E27 LUZ BLANCA MERCURY;ELECTRICOS;;
RODACHINA COLGANTE 2 RUEDAS METALICA FUERTE UNIDAD;HERRAJES Y SOPORTES;;
"""EMPAQUE ADAPTADOR DE 1/2""";GRIFERIA;;
"TERMINAL HEMBRA MACHO 250 1/4"" CABLE 12-10 AWG AMARILLA MAX 27A";ELECTRICOS;;
TERMINAL EMPALME TOPE PARA CABLE 22-16 AWG, CON AISLANTE ROJO MAX 48A;ELECTRICOS;;
CAPUCHON CON RESORTE DE NYLON 16X2 AWG COLOR GRIS;ELECTRICOS;;
CAPUCHON CON RESORTE DE NYLON 16X3 AWG COLOR AZUL;ELECTRICOS;;
TERMINAL ANILLO 5/16 AMARILLO CABLE 12-10;ELECTRICOS;;
"TORNILLO DRYWALL 14X11/2"" UN";TORNILLERIA;;
"TORNILLO DRYWALL 14X11/2"" DOC";TORNILLERIA;;
BOTA VEREDA TALLA 38;DOTACION INDUSTRIAL;;
JUEGO DE PUNTAS MONTADAS PIEDRA 5 PIEZAS;HERRAMIENTA MANUAL;;
"LLAVE MIXTA 1"" 290MM PRETUL";HERRAMIENTA MANUAL;;
"LLAVE MIXTA 15/16"" X 280MM PRETUL";HERRAMIENTA MANUAL;;
MASILLA MADERA POROSIL BLANCO 350 GRAMOS CORONA;PINTURAS Y DISOLVENTES;;
MASILLA MADERA POROSIL ABARCO CLARO  350 GRAMOS CORONA;PINTURAS Y DISOLVENTES;;
MASILLA MADERA POROSIL ABARCO OSCURO 350 GRAMOS CORONA;PINTURAS Y DISOLVENTES;;
VINILO T1 PROFESSIONAL 1A BLANCO CANECA 5 GL CORONA;PINTURAS Y DISOLVENTES;;
MASILLA DRYWALL PANEL TEC PROFESSIONAL 1 GALON 5.6KG CORONA;PINTURAS Y DISOLVENTES;;
IMPERMEABILIZANTE PARAGUAS MULTIPROPOSITO BLANCO 1G CORONA;PINTURAS Y DISOLVENTES;;
IMAN CERAMICO CUADRADO 6;ELECTRICOS;;
IMAN CERAMICO CUADRADO 7;ELECTRICOS;;
IMAN MONEDA 00;ELECTRICOS;;
IMAN MONEDA 5;ELECTRICOS;;
IMPERMEABILIZANTE PARAGUAS MULTIPROPOSITO GRIS 1G CORONA;PINTURAS Y DISOLVENTES;;
"ALICATE PONCHADORA 8"" PARA RJ45 8 HILOS TRUPER";HERRAMIENTA MANUAL;;
ALDABILLA CROMADA DERECHA - IZQUIERDA;HERRAJES Y SOPORTES;;
ESCOBILLA NÃ¯Â¿Â½1  MOTOR SINGER;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½3;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½6 BRILLANTADORA ELECTROLUZ;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½5 VARIOS;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½7 BRILLADORA GENERAL;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½8 TALADRO B/D 1/4;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½9 TALADRO B/D SKILL 1/2;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½10 TALADRO PULIDORA B/D 3/8;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½11 TALADRO BOSH DE 1/4;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½12 PULIDORA B/D ESPECIAL;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½13 TALADRO MAKITA;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½14;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½15 TALADRO ISKRAPERLES MOTOR TOOL M317;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½16 SIERRA B/D;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½17 RUTEADOR B/D;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½18 PULIDORA Y TRONSADORA HITACH;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½19 PULIDORA B/D 1/2;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½20 PULIDORA B/D TIPO PESADO;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½21 PULIDORA B/D PULIDORA B/D ESPECIAL;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½22 SKILL DE 1/2 MILLER THOR 1/2;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½23 MAKINA 1/2;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½24 PULIDORA BOSH 1/2;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½24A PULIDORA BOSH;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½30A;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½25 ISKA PERLES DE 1/2;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½26;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½27 PULIDORA ISKRA PERLES PEQUEÃ¯Â¿Â½A;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½28 PULIDORA SKILL;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½29 MINIPULIDOR DEWALD B/D;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½30 TRONSADORA DYWAL 50;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½31;ELECTRICOS;;
ESCOBILLA NÃ¯Â¿Â½32;ELECTRICOS;;
TACO BREAKER 2P BIPOLAR X 40 A CILLES;ELECTRICOS;;
CONECTOR ELECTRICO 60A;ELECTRICOS;;
"VALVULA BOLA LATON 1"" GRIVAL";GRIFERIA;;
BOMBILLO LED 7W E27 LUZ BLANCA MERCURY;ELECTRICOS;;
TEE GALVANIZADA 3/4;TUBERIAS Y ACCESORIOS;;
TOMA TIPO LEVINTON BLANCA AVE;ELECTRICOS;;
MASILLA EPOXICA EPOXIBONDER 30 G LOCTITE;PINTURAS Y DISOLVENTES;;
SELLADOR MULTIPROPOSITO GALON CORONA;PINTURAS Y DISOLVENTES;;
SUPERFACHADA BASE AGUA GALON CORONA;PINTURAS Y DISOLVENTES;;
EPOXIBONDER TRANSPARENTE 25 GRAMOS LOCTITE;PEGANTES;;
TAPA TOMA LEVINTON  BLANCA;ELECTRICOS;;
PUNTILLA CON CABEZA 3/4 400G;TORNILLERIA;;
DESAGUE LAVAMANOS CROMADO RIOPLAST;GRIFERIA;;
ENVASE NEGRO 1/2 G PLASTICO;PINTURAS Y DISOLVENTES;;
"DISCO CORTE METAL 41/2"" X 1/16"" X 7/8"" NORTON";ABRASIVOS Y CONSUMIBLES;;
"TORNILLO AVELLANA PUNTA DE BROCA  8 X 11/2"" UN";TORNILLERIA;;
"TORNILLO AVELLANA PUNTA DE BROCA  8 X 11/2"" DOC";TORNILLERIA;;
"TORNILLO AVELLANA PUNTA DE BROCA  8 X 11/2"" 50U";TORNILLERIA;;
"TORNILLO AVELLANA PUNTA DE BROCA 6 X 3/4"" UN";TORNILLERIA;;
"TORNILLO AVELLANA PUNTA DE BROCA 6 X 3/4"" DOC";TORNILLERIA;;
"TORNILLO AVELLANA PUNTA DE BROCA 6 X 3/4"" 50U";TORNILLERIA;;
TORNILLO AVELLANA PUNTA DE BROCA 8X1 DOC;TORNILLERIA;;
TORNILLO AVELLANA PUNTA DE BROCA 8X1 50;TORNILLERIA;;
"BROCA MURO 1/4 X 4""  BOSH";ABRASIVOS Y CONSUMIBLES;;
BROCA LAMINA HSS 1/8 BOSH;ABRASIVOS Y CONSUMIBLES;;
BROCA LAMINA HSS 3/16 BOSH;ABRASIVOS Y CONSUMIBLES;;
ESMALTE SECADO RAPIDO BASE AGUA BLANCO 1G CORONA;PINTURAS Y DISOLVENTES;;
BOTA VEREDA TALLA 39;DOTACION INDUSTRIAL;;
GUANTE CAUCHO INDUSTRIAL PREMIUM GOYA T 71/2;DOTACION INDUSTRIAL;;
GUANTE CAUCHO INDUSTRIAL PREMIUM GOYA T 7;DOTACION INDUSTRIAL;;
TOMA AEREA BIFILAR PATA CRUZADA 2O AMP CODELCA;ELECTRICOS;;
"MACETA TIPO NEVADA MANGO FIBRA DE VIDRIO 6"" PRETUL";HERRAMIENTA MANUAL;;
SIFON FLEXIBLE CROMADO LAVAPLATOS CON CANASTILLA;GRIFERIA;;
CANECA 52 GLONES DE SEGUNDA;PINTURAS Y DISOLVENTES;;
SENSOR DE PARED SOBREPONER MERCURY;ELECTRICOS;;
SILICONA AROMA CHICLE UV 300ML SIMONIZ;LUBRICANTES;;
TORNILLO HEXAGONAL PUNTA BROCA 10X1/2;TORNILLERIA;;
"BUSHING GALVANIZADO 3/4 X 1""";TUBERIAS Y ACCESORIOS;;
ACEITE 3-EN- 1 AEROSOL 135ML 4,5 Oz;LUBRICANTES;;
RODACHINA PESADA 1.5 SIN FRENO NARANJA;HERRAJES Y SOPORTES;;
"RODACHINA PESADA 2"" CON FRENO NARANJA";HERRAJES Y SOPORTES;;
"RODACHINA GIRATORIA LIVIANA 1"" NYLON BLANCA";HERRAJES Y SOPORTES;;
"RODACHINA GIRATORIA LIVIANA 11/2"" NYLON BLANCA";HERRAJES Y SOPORTES;;
"RODACHINA GIRATORIA  LIVIANA 2"" NYLON BLANCA";HERRAJES Y SOPORTES;;
"RODACHINA GIRATORIA ESPIGO 2"" PARA SILLA";HERRAJES Y SOPORTES;;
FUSIBLE PARA OLLA METALICO;HOGAR Y COCINA;;
MANTENIMIENTO DE EQUIPO;HERRAMIENTA MANUAL;;
CARRETILLA 5.5 FT GRIS ANTIPINCHAZO PRETUL;HERRAMIENTA MANUAL;;
LUBRICANTE MULTIUSOS 200ML DTURIN;LUBRICANTES;;
BROCA ACERO HSS 15/32 INCOLMA;ABRASIVOS Y CONSUMIBLES;;
BROCA ACERO HSS 23/64 INCOLMA;ABRASIVOS Y CONSUMIBLES;;
ESCALERA TIPO TIJERA 7 PELDAÃ¯Â¿Â½OS BANDEJA TRUPER;HERRAMIENTA MANUAL;;
CAIMAN ROJO NEGRO 200A MEDIANO NACIONAL;ELECTRICOS;;
CAIMAN ROJO NEGRO PEQUEÃ¯Â¿Â½O NACIONAL;ELECTRICOS;;
MOTOR REDUCTOR PROYECTOS ESCOLARES;ELECTRICOS;;
BOTA VEREDA TALLA 40;DOTACION INDUSTRIAL;;
CERRADURA SOBREPONER DERECHA C-999 INAFER;CERRAJERIA Y SEGURIDAD;;
CERRADURA SOBREPONER IZQUIERDA C-999 INAFER;CERRAJERIA Y SEGURIDAD;;
PALUSTRE MANGO PLASTICO NO 5 UDUKE;HERRAMIENTA MANUAL;;
TUBO EMT 3/4;ELECTRICOS;;
CURVA EMT  3/4;ELECTRICOS;;
UNION EMT 3/4;ELECTRICOS;;
TERMINAL EMT 3/4;HERRAMIENTA MANUAL;;
COMPRESOR HORIZONTAL 25LITROS 3HP 127V;HERRAMIENTA MANUAL;;
VASTAGO CARTUCHO CERAMICO DERECHO LARGO GRIVAL;GRIFERIA;;
BREAKER TACO PLUG 20 A EXE;ELECTRICOS;;
ASPIRADORA DE SOLIDOS Y LIQUIDOS G GL TRUPER;HERRAMIENTA ELECTRICA;;
EXTENSION CON POLO NARANJA 3MT;ELECTRICOS;;
TEJA PLASTICA MARFIL TIPO ETERNIT #8 244X92CM GERFOR;CONSTRUCCION;;
GUANTE CAUCHO INDUSTRIAL PREMIUM GOYA T 10;DOTACION INDUSTRIAL;;
"LLAVE DE TUBO 36"" TRUPER";HERRAMIENTA MANUAL;;
ARTICULOS DE FERRETERIA;HERRAMIENTA MANUAL;;
ALAMBRE N10 X ROLLO 100MT CENTELSA;ELECTRICOS;;
ANTENA TDT PARA TV 1.50MT;ELECTRICOS;;
TEE GALVANIZADA 3/8;TUBERIAS Y ACCESORIOS;;
SENSOR DE PARED INCRUSTAR MERCURY;ELECTRICOS;;
LLANA BOCETO PLASTICO;HERRAMIENTA MANUAL;;
TAPA OIDOS COPA TRUPER;DOTACION INDUSTRIAL;;
FUSIBLE OLLA PUNTO VERDE, ROJO, NARANJA GRANDE;HOGAR Y COCINA;;
LUBRICANTE CADENAS MOTOS/BICLICLETAS 200 MERCURY;LUBRICANTES;;
REDUCTOR BRONCE 1/2 X 1/4;PARTES Y REPUESTOS;;
REDUCTOR BRONCE 1/2 X 3/8;PARTES Y REPUESTOS;;
VASTAGO BRONCE IZQUIERDO GRICOL;GRIFERIA;;
REDUCTOR BRONCE 3/8 X 1/4;PARTES Y REPUESTOS;;
CHUPA CON GANCHO N 6;HERRAJES Y SOPORTES;;
CINTA REFLECTIVA R WH 5CM X 1MT 3M;ELECTRICOS;;
BOMBILLO LED VELA E27 5W6500K MERCURY;ELECTRICOS;;
LAMPARA DE EMERGENCIA LUM 30 LEDS RECARGABLE 100ML SEGURIMAX;ELECTRICOS;;
CINTA REFLECTIVA R WH 5CM X 45.7MT 3M;ELECTRICOS;;
BOLSA DE ESTOPA FINA 400G AZUL;PINTURAS Y DISOLVENTES;;
BOLSA DE ESTOPA FINA 800G AMARILLA;PINTURAS Y DISOLVENTES;;
VALVULA DE REGULACION SENCILLA EN ZING 1/2 BOCCHERINI;GRIFERIA;;
VALVULA DE REGULACION DOBLE  EN ZING 1/2 BOCCHERINI;GRIFERIA;;
SECUENCIADOR CINTA LED NEON RGB120V;ELECTRICOS;;
DESCUENTOS COMERCIALES;;;
LLANA MADERA BOCETO DE PUNTA 9CM X 20CM;HERRAMIENTA MANUAL;;
CABO CEPILLO X 1.20 MTS CORRIENTE;HERRAMIENTA MANUAL;;
CABO MACETA N3 LIJADO FINO;HERRAMIENTA MANUAL;;
CABO MARTILLO UÃ¯Â¿Â½A N2;HERRAMIENTA MANUAL;;
CEPILLO CARRETERO PLASTICO 34CM SIN CABO;HERRAMIENTA MANUAL;;
MASILLA DRYWALL PANEL TEC PROFESSIONAL BALDE 14KG CORONA;PINTURAS Y DISOLVENTES;;
VINILO T1 PROFESSIONAL 1A BLANCO BALDE 2.5 G CORONA;PINTURAS Y DISOLVENTES;;
VINILO T1 PROFESSIONAL 1A BLANCO 1 G CORONA;PINTURAS Y DISOLVENTES;;
VINILO T2 TOTAL 2.5 G CORONA;PINTURAS Y DISOLVENTES;;
VINILO T2 PROFESSIONAL ALTA COBERTURA 5 G CORONA;PINTURAS Y DISOLVENTES;;
MOTOR TOOL PROFESIONAL 1509W 97 ACCESORIOS;ELECTRICOS;;
CABO AZADON CORRIENTE;HERRAMIENTA MANUAL;;
LLANA MADERA 14X21CM PINO;HERRAMIENTA MANUAL;;
CINTA LED 110V 5050 LUZ CALIDA X 1 METRO MERCURY;ELECTRICOS;;
VINILO T2 TOTAL 1 G CORONA;PINTURAS Y DISOLVENTES;;
JUEGO DE LLAVES BRISTOL EXTRALARGAS PULGDAS 7 PIEZAS TRUPER;HERRAMIENTA MANUAL;;
TAPAOIDO DE INSERCION ECO;DOTACION INDUSTRIAL;;
"BUJE PVC SOLDADO 11/2X 1""";TUBERIAS Y ACCESORIOS;;
"CINTA ENMASCARAR 1"" X 50M TRUPER";PEGANTES;;
CEPILLO DE PISO DOBLE USO BLANCO 1A SIN PALO;HOGAR Y COCINA;;
LUCES DE NAVIDAD LED LINEAL X30 FAROLITO;ELECTRICOS;;
LUCES DE NAVIDAD LED LINEAL BOMBILLO GRANDE HUMO X200;ELECTRICOS;;
LUCES DE NAVIDAD LED ESTRELLA PUNTA ARBOL;ELECTRICOS;;
LUCES DE NAVIDAD LED CORTINA FIGURAS ESTRELLAS G26-1;ELECTRICOS;;
LUCES DE NAVIDAD LED CORTINA BOMBILLO PAPA NOEL YG-007;ELECTRICOS;;
LUCES DE NAVIDAD LED CORTINA FIGURAS RENOS YG-357;ELECTRICOS;;
LUCES DE NAVIDAD LED CORTINA FIGURAS COPOS YG-356;ELECTRICOS;;
LUCES DE NAVIDAD LED CORTINA FIGURAS CIRCULOS PAPA NOEL YG-020;ELECTRICOS;;
LUCES DE NAVIDAD LED CORTINA FIGURAS YG115;ELECTRICOS;;
LUCES DE NAVIDAD LED PILA CORCHO PEQUEÃ¯Â¿Â½A;ELECTRICOS;;
LUCES DE NAVIDAD LED ALAMBRADA X 100B YG-254;ELECTRICOS;;
LUCES DE NAVIDAD LED ALAMBRADA X 200B  YG-255;ELECTRICOS;;
LUCES DE NAVIDAD LED CORTINA RVP 3X1MT YG-150;ELECTRICOS;;
LUCES DE NAVIDAD LED CORTINA RVP 3X2MT YG-151;ELECTRICOS;;
LUCES DE NAVIDAD LED CORTINA RVP 3X3MT YG-149;ELECTRICOS;;
LUCES DE NAVIDAD LED CORTINA 3X1MT YG-11O;ELECTRICOS;;
LUCES DE NAVIDAD LED CORTINA 3X2MT YG-111;ELECTRICOS;;
LUCES DE NAVIDAD LED CORTINA  3X3MT YG-106;ELECTRICOS;;
LUCES DE NAVIDAD LED MANGUERA X10MT YG-155;ELECTRICOS;;
VELITA LED AB-1, 2;ELECTRICOS;;
LUCES DE NAVIDAD BOMBILLO GIRATORIO LED 12104;ELECTRICOS;;
ACRILICO BOTERO PARA MANUALIDADES COLORES X60ML;PINTURAS Y DISOLVENTES;;
ACRILICO BOTERO METALIZADO DORADO / PLATEADO X60ML;PINTURAS Y DISOLVENTES;;
PAPEL ROCA PESEBRE MAQUETA VERDE O CAFÃ¯Â¿Â½ PLIEGO;PAPELERIA Y ESCOLAR;;
HILO DORADO 1MT;PAPELERIA Y ESCOLAR;;
HILO PLATEADO 1MT;PAPELERIA Y ESCOLAR;;
NIEVE ARTIFICIAL EN SPRAY X4ONZ;PAPELERIA Y ESCOLAR;;
ESPONJA OROPLATA;HOGAR Y COCINA;;
ESPONJA DE ESPUMA DOBLE USO;HOGAR Y COCINA;;
BOMBILLO VEHICULO 5 17053 NARVA;ELECTRICOS;;
BOMBILLO VEHICULO HALOGENO 60155 NARVA;ELECTRICOS;;
KIT PARA DESPINCHAR BICICLETA;HERRAMIENTA MANUAL;;
BREAKER TACO PLUG 30 A EXE;ELECTRICOS;;
CANDADO CON GUAYA PARA BICICLETA FORTE;CERRAJERIA Y SEGURIDAD;;
LINTERNA MULTIFUNC FLEXIBLE 24 LED FORTE;ELECTRICOS;;
TOALLITA MICROFIBRA UNICOLOR;HOGAR Y COCINA;;
POMA LLAVE CRUCETA UNIVERSAL;GRIFERIA;;
EXTENSION 10 MTS 30ft DUPLEX OSBLACK/TITANIUM;ELECTRICOS;;
KIT BRICOLAGE BANDEJA PARA PINTAR;PINTURAS Y DISOLVENTES;;
AMARRE PLASTICO BLANCO 4.8 X 20cm FORTE UN;SOGAS Y CADENAS;;
AMARRE PLASTICO BLANCO 4.8 X 20cm FORTE PAQ;SOGAS Y CADENAS;;
AMARRE PLASTICO BLANCO 4.8 X 25cm FORTE PAQ;;;
AMARRE PLASTICO BLANCO 4.8 X 37cm FORTE PAQ;SOGAS Y CADENAS;;
AMARRE PLASTICO BLANCO 7.6 X 40cm FORTE PAQ;SOGAS Y CADENAS;;
AMARRE PLASTICO NEGRO 4.8 X 20cm FORTE UN;SOGAS Y CADENAS;;
AMARRE PLASTICO NEGRO 4.8 X 20cm FORTE PAQ;SOGAS Y CADENAS;;
ESMALTE EXPERTO BLANCO 1/4 G SUPER;PINTURAS Y DISOLVENTES;;
AMARRE PLASTICO NEGRO 4.8 X 25cm FORTE PAQ;HERRAJES Y SOPORTES;;
AMARRE PLASTICO NEGRO 4.8 X 30cm FORTE UN;HERRAJES Y SOPORTES;;
AMARRE PLASTICO NEGRO 4.8 X 30cm FORTE PAQ;HERRAJES Y SOPORTES;;
AMARRE PLASTICO NEGRO 4.8 X 37cm FORTE UN;HERRAJES Y SOPORTES;;
AMARRE PLASTICO NEGRO 4.8 X 37cm FORTE PAQ;HERRAJES Y SOPORTES;;
"CANCAMO EN ELE 3/4""";HERRAJES Y SOPORTES;;
CANCAMO CERRADO N 0 RANGER;TORNILLERIA;;
CANCAMO CERRADO N 00 RANGER;TORNILLERIA;;
"CANCAMO ABIERTO 11/2"" RANGER";TORNILLERIA;;
"CANCAMO ABIERTO 2"" RANGER";TORNILLERIA;;
ENTREPAÃ¯Â¿Â½O TRANSPARENTE 3/16 ESPIGO METALICO;HERRAJES Y SOPORTES;;
PASADOR FAYEBA COLONIAL IZQ /DER 37CM;HERRAJES Y SOPORTES;;
RODACHINA PESADA 1.5 CON FRENO NARANJA;HERRAJES Y SOPORTES;;
"RODACHINA PESADA 2"" SIN FRENO NARANJA";HERRAJES Y SOPORTES;;
"PATA TUBULAR METALICA 2"" X8CM";HERRAJES Y SOPORTES;;
"PATA TUBULAR METALICA 2"" X10CM";HERRAJES Y SOPORTES;;
ARGOLLA LATONADA 3/4;HERRAJES Y SOPORTES;;
ARGOLLA LATONADA 11/4;HERRAJES Y SOPORTES;;
TUBO OVALADO CROMADO PARA CLOSET X 3MT;HERRAJES Y SOPORTES;;
SOPORTE OVALADO PARA CLOSET 5/8 MATALICO;HERRAJES Y SOPORTES;;
"VALVULA POZUELO PVC 11/2"" SIN SOSCO";GRIFERIA;;
YEE LAVADORA CON LLAVE PLASTGRIFOS;GRIFERIA;;
POMA PERILLA PALANCA ESTRIA PARA LLAVE;GRIFERIA;;
POMA PERILLA CRUCETA ESTRIA PARA LLAVE;GRIFERIA;;
DUCHA LAVAPLATOS CAUCHO A PRESION;GRIFERIA;;
TORNILLO HEX RO PAVONADO GRADO 5 1/4X3/4;TORNILLERIA;;
TORNILLO HEX RO PAVONADO GRADO 5 1/4X1;TORNILLERIA;;
TORNILLO HEX RO PAVONADO GRADO 5 1/4X11/2;TORNILLERIA;;
TORNILLO HEX RO PAVONADO GRADO 5 1/4X2;TORNILLERIA;;
TORNILLO HEX RO PAVONADO GRADO 5 5/16X3/4;TORNILLERIA;;
TORNILLO HEX RO PAVONADO GRADO 5 5/16X1;TORNILLERIA;;
TORNILLO HEX RO PAVONADO GRADO 5 5/16X11/2;TORNILLERIA;;
TORNILLO HEX RO PAVONADO GRADO 5 5/16X2;TORNILLERIA;;
TORNILLO HEX RO PAVONADO GRADO 5 3/8X1;TORNILLERIA;;
TORNILLO HEX RO PAVONADO GRADO 5 3/8X11/2;TORNILLERIA;;
TORNILLO HEX RO PAVONADO GRADO 5 3/8X2;TORNILLERIA;;
TORNILLO CR MM 8X20;TORNILLERIA;;
TORNILLO CR MM 8X25;TORNILLERIA;;
TARUGO MADERA 6MM;TORNILLERIA;;
"TUERCA HEX RO GRADO 5 PAVONADA 1/4"" UN";TORNILLERIA;;
"TUERCA HEX RO GRADO 5 PAVONADA 5/16"" UN";TORNILLERIA;;
"TORNILLO LAMINA AVELLANA 8X1"" UN";TORNILLERIA;;
"TORNILLO LAMINA AVELLANA 8X3/4"" UN";TORNILLERIA;;
"TORNILLO LAMINA AVELLANA 8X11/2"" UN";TORNILLERIA;;
"TORNILLO LAMINA AVELLANA 10X3/4"" UN";TORNILLERIA;;
"TORNILLO LAMINA AVELLANA 10X1"" UN";TORNILLERIA;;
"TORNILLO LAMINA AVELLANA 10X11/2"" UN";TORNILLERIA;;
"TORNILLO LAMINA AVELLANA 12X1"" UN";TORNILLERIA;;
"TORNILLO LAMINA AVELLANA 12X11/2"" UN";TORNILLERIA;;
MANIJA DECO PUNTO N 3;HERRAJES Y SOPORTES;;
RODACHINA COLGANTE CURVA RC 30 METALICA;HERRAJES Y SOPORTES;;
"TUERCA HEX RO GRADO 5 PAVONADA 3/8"" UN";TORNILLERIA;;
EXTENSION 5 MTS 15ft DUPLEX OSBLACK/TITANIUM;ELECTRICOS;;
CUERDA TRENZADA VERDE MILITAR #2 TRENZACOL 1M;SOGAS Y CADENAS;;
"SOPORTE BASE PARA TV FIJO 26""-63"" CAJA VERDE";HERRAJES Y SOPORTES;;
"SOPORTE BASE PARA TV MOVIL 17""-42"" BASEX200";HERRAJES Y SOPORTES;;
"SOPORTE BASE PARA TV MOVIL 32""-60"" BASE P4";HERRAJES Y SOPORTES;;
BISAGRA REDONDA ALA N2 PEQUEÃ¯Â¿Â½A UNIDAD;HERRAJES Y SOPORTES;;
BISAGRA REDONDA ALA N5 GRANDE UNIDAD;HERRAJES Y SOPORTES;;
EMPAQUE BOQUILLA LAVAMANOS;GRIFERIA;;
TORNILLO CR MM 8X50;TORNILLERIA;;
CANDADO DE SEGURIDAD PARA FRENO DE DISCO DE MOTO;CERRAJERIA Y SEGURIDAD;;
TORNILLO CR PAVONADO GRADO 5 8X35 MM;TORNILLERIA;;
GUIRNALDA NAVIDAD BRILLANTE 2MT;HOGAR Y COCINA;;
GUIRNALDA NAVIDAD VERDE 4-5MT;HOGAR Y COCINA;;
GUIRNALDA NAVIDAD BLANCA;HOGAR Y COCINA;;
ADORNO NAVIDAD MUÃ¯Â¿Â½ECO DE FIELTRO;HOGAR Y COCINA;;
BALACA NAVIDAD;HOGAR Y COCINA;;
BOLA NAVIDAD N 6 X 10U;HOGAR Y COCINA;;
BOLA NAVIDAD N 4 X 18U;HOGAR Y COCINA;;
BOLA NAVIDAD N 3 X 12U;HOGAR Y COCINA;;
CINTA NAVIDAD 24MM ROLLO X 2.5MT;HOGAR Y COCINA;;
BALDOZA BLANCA 30x20CM REPARACIONES;CONSTRUCCION;;
BALDOZA NEGRA 30x30CM REPARACIONES;CONSTRUCCION;;
BOMBILLO BI PIN 7W LUZ CALIDA MAGIC LIGHT;TORNILLERIA;;
"SERRUCHO DE PODA 12"" HOJA CURVA 6DPP TRUPER";HERRAMIENTA MANUAL;;
VELITAS DE NAVIDAD PAQ X10;;;
CINTA NAVIDAD MALLA  15CM ROLLO X 2MT;HOGAR Y COCINA;;
VENENO PARA RATA GUAYAQUIL;ASEO;;
REPELENTE PARA PERROS Y GATOS 500ML;ASEO;;
LUCES DE NAVIDAD LED LLUVIA DE 6x0.60CM;HOGAR Y COCINA;;
LUCES DE NAVIDAD ESTRELLA GRANDE CORTINA;HOGAR Y COCINA;;
SIKAFLEX 212 FC NEGRO X 300ML;CONSTRUCCION;;
CINTA ANTIDESLIZANTE 25MM X 5M TRUPER;CONSTRUCCION;;
"BROCA CONCRETO 1/2 X 6"" TRUPER";ABRASIVOS Y CONSUMIBLES;;
GUANTE CAUCHO TRITON CAL35 T 9;DOTACION INDUSTRIAL;;
VINIPEL-STRETCH NEGRO 15 CM CALIBRE 8 BOCCHERINI;CONSTRUCCION;;
VINIPEL-STRETCH NEGRO 20 CM CALIBRE 8 BOCCHERINI;CONSTRUCCION;;
VINIPEL-STRETCH NEGRO 30 CM CALIBRE 8 BOCCHERINI;CONSTRUCCION;;
JUEGO DE 2 ESLINGAS REATA CON RATCHET CARGA 400KG TRUPER;HERRAMIENTA MANUAL;;
DUCHA VICTORY FUSION BLANCA CON 120V SELECTOR BOCCHERINI;ELECTRICOS;;
"TERMINAL ANILLO COBRE 5/16"" 8 AWG";ELECTRICOS;;
CAPUCHON CON RESORTE DE NYLON 20X3 AWG COLOR NARANJA;ELECTRICOS;;
TEJA PLASTICA MARFIL TIPO ETERNIT #4 122X92CM GERFOR;CONSTRUCCION;;
REFLECTOR LED TIPO TABLETA 30W MERCURY;ELECTRICOS;;
REFLECTOR LED TIPO TABLETA 50W MERCURY;ELECTRICOS;;
TERMINAL ANILLO 3/16 Ã¯Â¿Â½ 5 MM CABLE 22-16 AMG ROJO MAX 19A;ELECTRICOS;;
TERMINAL ANILLO 3/16 AZUL CABLE 16-14 AWG;ELECTRICOS;;
