Nombre;CategorÃ­a;Definicion;Caracteristicas
"ALICATE SACABOCADO 9"" TRUPER";HERRAMIENTA MANUAL;Marca Truper, Modelo 17340, Largo 24 cm, Tipo de corte SACABOCADOS, Material del mango Recubierto, Material Acero ;"""Pinza saca bocados fabricada en acero al carbono y mango ergonómico para brindar mejor agarre.Puntas de corte fabricadas de acero templado para una mayor duración.Cuenta con soporte de desgaste lo que asegura que el material a cortar no sufra daños.Fácil selección del diámetro para perforar.Para perforaciones en cuero, lona, plástico y cartón.Con deposito para desperdicios.Requiere poca fuerza para hacer los agujeros.Mango recubierto de vinil para mayor comodidadLargo 9"""" (228,6 mm)Diámetros de perforaciones 2, 2.5, 3, 3.5, 4 y 4.5 mmDureza sacabocados 45 HRcPeso 370 g."
AMARRE PLASTICO NEGRO 7,6 X 40cm FORTE DOC;HERRAJES Y SOPORTES;;
AMARRE PLASTICO NEGRO 7,6 X 40cm FORTE PAQ X 100;HERRAJES Y SOPORTES;;
AMARRE PARA TEJA CORTO DOC;CONSTRUCCION;;
AMARRE PARA TEJA CORTO PAQ X 100;CONSTRUCCION;;
AMARRE PARA TEJA CORTO UN;CONSTRUCCION;;
AMARRE PARA TEJA LARGO DOC;CONSTRUCCION;;
AMARRE PARA TEJA LARGO PAQ X 100;CONSTRUCCION;;
AMARRE PARA TEJA LARGO UN;CONSTRUCCION;;
AMARRE PICADO PAQUETE;HERRAJES Y SOPORTES;;
AMARRE PICADO X UN;HERRAJES Y SOPORTES;;
AMARRE PLASTICO 120 CM VOLTECK UN;HERRAJES Y SOPORTES;;
AMARRE PLASTICO 45 CM VOLTECK BOLSA X 10;HERRAJES Y SOPORTES;;
AMARRE PLASTICO 45 CM VOLTECK UN;HERRAJES Y SOPORTES;;
AMARRE PLASTICO 70 CM VOLTECK BOLSA X 10;HERRAJES Y SOPORTES;;
AMARRE PLASTICO 70 CM VOLTECK UN;HERRAJES Y SOPORTES;;
AMARRE PLASTICO 90 CM VOLTECK UN;HERRAJES Y SOPORTES;;
