Nombre;Referencia;Categoría;Descripción;Marca
MACHOS SEMICONICOS 3/8 TRUPER;1541;HERRAMIENTA MANUAL;11409;TRUPER 11409
MACHOS SEMICONICOS 5/16 TRUPER;1542;HERRAMIENTA MANUAL;11407;TRUPER 11407
MACHOS SEMICONICOS 5/32 TRUPER;1543;HERRAMIENTA MANUAL;11417;TRUPER 11417
MACHOS SEMICONICOS 7/16 TRUPER;3334;HERRAMIENTA MANUAL;11411;TRUPER 11411
"MANGUERA TIPO RESORTE 1/4"" TRUPER";1553;HERRAMIENTA MANUAL;19075;TRUPER 19075
BOMBA PARA INFLAR BICICLETA MINI 85PSI TRUPER;1646;HERRAMIENTA MANUAL;11997;TRUPER 11997
MONOGAFAS DE SEGURIDAD AJUSTABLE NEGRA TRUPER;3384;DOTACION INDUSTRIAL;14213;TRUPER 14213
MOTOR TOOL Y KIT DE 97 ACCESORIOS TRUPER;1657;HERRAMIENTA MANUAL;17449;TRUPER 17449
MULTITESTER DIGITAL ESCOLAR TRUPER;1660;ELECTRICOS;10400  Instrumento de mediciï¿½n con cuerpo de ABS.Escala de circuito integrado con convertidor (alterna / directa) doble integrado como centro y protecciï¿½n contra sobrecargas.Funciones Prueba de diodo, transistor y continuidad audible.Uso escolar.;TRUPER 10400
MULTITESTER DIGITAL PRORESIONAL AUTOMOTRIZ TRUPER;1661;ELECTRICOS;10403Instrumento de mediciï¿½n con cuerpo de ABS.Escala de circuito integrado con convertidor (alterna / directa) doble integrado como centro y protecciï¿½n contra sobrecargas.Funciones Prueba de diodo, continuidad audible, retenciï¿½n de datos (HOLD), true RMS y apagado automï¿½tico (APO)Uso automotriz.;TRUPER 10403
MULTITESTER DIGITAL TRUPER;1662;ELECTRICOS;10401Instrumento de mediciï¿½n con cuerpo de ABS.Escala de circuito integrado con convertidor (alterna / directa) doble integrado como centro y protecciï¿½n contra sobrecargas.Funciones Prueba de diodo, transistor, continuidad audible y retenciï¿½n de datos (HOLD).Uso bï¿½sico.;TRUPER 10401
PALA JARDINERA CUADRADA TRUPER;3529;HERRAMIENTA MANUAL;17194;TRUPER 17194
PALA CABEZA CUADRADA N2 TRUPER;1741;HERRAMIENTA MANUAL;19687;TRUPER 19687
PALA CABEZA REDONDA N2 TRUPER;1742;HERRAMIENTA MANUAL;10601;TRUPER 10601
PALA JARDINERA REDONDA TRUPER;3528;HERRAMIENTA MANUAL;17193;TRUPER 17193
PALADRAGA ATLAS MANGO MADERA 45 TRUPER;1743;HERRAMIENTA MANUAL;11973;TRUPER 11973
PALIN HOYADOR TRUPER;1744;HERRAMIENTA MANUAL;11380;TRUPER 11380
"PIEDRA PARA AFILAR 1"" TRUPER";1792;ABRASIVOS Y CONSUMIBLES;11667;TRUPER 11667
PINZAS PARA TIERRA 300 A TRUPER;1835;HERRAMIENTA MANUAL;14234;TRUPER 14234
PINZAS PARA TIERRA 500 A TRUPER;1837;HERRAMIENTA MANUAL;14235;TRUPER 14235
PINZAS PORTA ELECTRODO 300 A TRUPER;1839;HERRAMIENTA MANUAL;14232;TRUPER 14232
PINZAS PORTA ELECTRODO 500 A TRUPER;1841;HERRAMIENTA MANUAL;14233;TRUPER 14233
PISTOLA DE CALOR PROFESIONAL 1500 W TRUPER;3461;HERRAMIENTA ELECTRICA;17279;TRUPER 17279
"PISTOLA DE SILICONA 4"" X 1/2"" TRUPER";1849;HERRAMIENTA ELECTRICA;17536;TRUPER 17536
"PISTOLA DE SILICONA 4"" X 5/16 TRUPER";1850;HERRAMIENTA ELECTRICA;17535;TRUPER 17535
PISTOLA PARA PINTAR BAJA PRESION NARANJA TRUPER;1852;HERRAMIENTA MANUAL;19510;TRUPER 19510
PISTOLA PLASTICA RIEGO 2 FUNCIONES TRUPER;1858;GRIFERIA;18480;TRUPER 18480
PISTOLA RETOQUE GRAVEDAD VASO ALUMINIO 0.5MM TRUPER;1855;HERRAMIENTA MANUAL;11098;TRUPER 11098
CARETA PROTECTOR FACIAL TRUPER;3344;DOTACION INDUSTRIAL;14221;TRUPER 14221
"PULIDORA ANGULAR 4-1/2"" PROFESIONAL 800 W TRUPER";1923;HERRAMIENTA ELECTRICA;18156 - 16683;TRUPER 18156 16683
"RATCHET TRIPLE MANDO 1/4""- 3/8""- 1/2"" TRUPER";1961;HERRAMIENTA MANUAL;13649;TRUPER 13649
REGLETA CALIBRADOR DE TUERCAS Y TORNILLOS 22CM TRUPER;3462;HERRAMIENTA MANUAL;10811;TRUPER 10811
REMACHADORA DE FUELLE TRUPER;1292;HERRAMIENTA MANUAL;17962;TRUPER 17962
REPUESTO PARA CARETA FACIAL PF-500 TRUPER;2085;DOTACION INDUSTRIAL;14222;TRUPER 14222
"RUEDA FLAP 1"" GRANO 80 TRUPER";2126;HERRAMIENTA MANUAL;13034;TRUPER 13034
"RUEDA FLAP 2"" GRANO 80 TRUPER";2127;HERRAMIENTA MANUAL;13038;TRUPER 13038
"RUEDA FLAP 3"" GRANO 80 TRUPER";2128;HERRAMIENTA MANUAL;13042;TRUPER 13042
SEGUETA BIMETALICA 18 DPP TRUPER;2131;HERRAMIENTA MANUAL;18100;TRUPER 18100
SEGUETA CALADORA EN U UNIDAD TRUPER;1376;HERRAMIENTA MANUAL;16129;TRUPER 16129
SEGUETA CALADORAS EN T UNIDAD TRUPER;1374;HERRAMIENTA MANUAL;16705;TRUPER 16705
SELLADOR TRANSPARENTE 85 GR TRUPER;3428;PEGANTES;18567;TRUPER 18567
"SERRUCHO TIPO MARQUETERO 10"" TRUPER";3690;HERRAMIENTA MANUAL;18164;TRUPER 18164
"SIERRA COPA BIMETALICA 1 1/2"" MANDRIL 7/16 TRUPER";2166;ABRASIVOS Y CONSUMIBLES;18094;TRUPER 18094
"SIERRA COPA BIMETALICA 1"" MANDRIL 3/8 TRUPER";2165;ABRASIVOS Y CONSUMIBLES;18088;TRUPER 18088
SILICONA ALTA TEMPERATURA NEGRO 85G TRUPER;2196;PEGANTES;17567;TRUPER 17567
SILICONA ALTA TEMPERATURA ROJO 85 G TRUPER;2197;PEGANTES;17566;TRUPER 17566
SILICONA BLANCA BAï¿½O/COCINA 85 G TRUPER;2199;PEGANTES;18567;TRUPER 18567
SILICONA TRANSPARENTE BAï¿½O/COCINA 280 ML TRUPER;2213;PEGANTES;18565;TRUPER 18565
SILICONA TRANSPARENTE BAï¿½O/COCINA 85 G TRUPER;2198;PEGANTES;18568;TRUPER 18568
"SOLDADURA ELECTRICA 6011 1/8"" 1K TRUPER";2245;ABRASIVOS Y CONSUMIBLES;15460;TRUPER 15460
